label,category,source,url,local_path,sha256,overlay_style
打call,动作支援,cv17965114,https://i0.hdslb.com/bfs/article/e3715b592add3c8945558320973c9d5a544278bb.png,assets/cover-emotes/wushen/动作支援/17965114_01_打call.png,d2c7c974f8c08b0ef608df8de0c242e918a65627445a4fc7eab772252c04e330,sticker
扶墨镜,动作支援,cv17965114,https://i0.hdslb.com/bfs/article/d0b5e36186e22fb0c49c360c2a6cacee867d8c88.png,assets/cover-emotes/wushen/动作支援/17965114_17_扶墨镜.png,b5ce6f7df7b9e1e242960ce696c23b4259564b1c6d26b38a09f8bbbd453846e0,sticker
指着咪,动作支援,cv30277853,https://i0.hdslb.com/bfs/article/00e5633fa30fb6bee24daed7350ba6a3353403349.png,assets/cover-emotes/wushen/动作支援/30277853_36_指着咪.png,854cd723c6897cfe71375aff69381c23b7d994152d38d1d9fc1788b6687edff6,sticker
打call喵,动作支援,cv30277853,https://i0.hdslb.com/bfs/article/eab3023e93930803a98270296022f766353403349.png,assets/cover-emotes/wushen/动作支援/30277853_41_打call喵.png,c616f01b6ce92e338bca8330d8e561658e9f7d87df668dfcfca39a5aeb225ece,sticker
恰根猫条,吃喝日常,cv17965114,https://i0.hdslb.com/bfs/article/56b39b0d65b5cb1da0f92d7dc39a9836cc2a0e84.png,assets/cover-emotes/wushen/吃喝日常/17965114_05_恰根猫条.png,c7e70b2674f0b6e4a7c1fb7d17a6c7bd03ce5d152b578716fa555972fa6458c2,sticker
呜牛奶呜,吃喝日常,cv17965114,https://i0.hdslb.com/bfs/article/14474ffab8bb6b01d3c60a28c11fefc55f4ee765.png,assets/cover-emotes/wushen/吃喝日常/17965114_14_呜牛奶呜.png,8e1b8f479f33674ebc5309321d53bccb7cbc5b7fccfd4bcd87a13fa9fa3fef63,sticker
莴苣咪,吃喝日常,cv30277853,https://i0.hdslb.com/bfs/article/79a0cea887d27cb7352b0b103ac68275353403349.png,assets/cover-emotes/wushen/吃喝日常/30277853_26_莴苣咪.png,b8dfc080145f6976466e837227f67c1117d0bb93723f0ca661bdff5acf0a723b,sticker
干饭咪,吃喝日常,cv30277853,https://i0.hdslb.com/bfs/article/761c5d0d9afe5bd46db36a08df6adfdf353403349.png,assets/cover-emotes/wushen/吃喝日常/30277853_35_干饭咪.png,6faf6bb70df0c599579229a414c2700199ba967b694312ad989a98ba8ba23f53,sticker
wwww,吐槽得意,cv17965114,https://i0.hdslb.com/bfs/article/d408549657d93a35c8a2f734f7a3b07a6f867d09.png,assets/cover-emotes/wushen/吐槽得意/17965114_02_wwww.png,4a64dd1e7a2a4ecab56607bd9fe8a9442f319e6ac7d213a15365a110329032df,sticker
坏笑咪,吐槽得意,cv30277853,https://i0.hdslb.com/bfs/article/a1c89b5f7c33c2b13861306ec9bf2150353403349.png,assets/cover-emotes/wushen/吐槽得意/30277853_33_坏笑咪.png,7b0de89bf2e831bfbdcba9506bb0d4dbe97af8e0c1ae82b85861193157e3895e,sticker
晚安喵,困倦晚安,cv17965114,https://i0.hdslb.com/bfs/article/32c0005583b4d3a96dfb44b3f83298068ffcec94.png,assets/cover-emotes/wushen/困倦晚安/17965114_04_晚安喵.png,04f38af8938a46504f97cdc66cc3080681eb1216fed4fd020128d059fa5e16de,sticker
小夜灯亮,困倦晚安,cv17965114,https://i0.hdslb.com/bfs/article/4e71d00d46e2c9a9e903760e02cdf6b69f7aa19f.png,assets/cover-emotes/wushen/困倦晚安/17965114_06_小夜灯亮.png,8fa6c9f0f13d0b0ed27851c7de9d625c9721063cd416d57ade82b5d2f3002c46,sticker
晚安咪,困倦晚安,cv30277853,https://i0.hdslb.com/bfs/article/d885bcfc3f38837c754089ea5f512065353403349.png,assets/cover-emotes/wushen/困倦晚安/30277853_23_晚安咪.png,32cd146e53a0bb02836c28d016dd1df7945b30aaa8423aedadf6ff550f74fda0,sticker
哈欠咪,困倦晚安,cv30277853,https://i0.hdslb.com/bfs/article/b089a8912891838137b6e03c59f11eb3353403349.png,assets/cover-emotes/wushen/困倦晚安/30277853_39_哈欠咪.png,102825a942919360dd9d32c9b6844edc9b16b6a44391698ea6d608edde014e99,sticker
灯亮喵,困倦晚安,cv30277853,https://i0.hdslb.com/bfs/article/b048b9f9a9021009fb3c31723b5bd456353403349.png,assets/cover-emotes/wushen/困倦晚安/30277853_43_灯亮喵.png,2d989b80d81580cc5e3c68e4b1c6c298780442d6497189c8f2b10908938a5b1a,sticker
